Product_Pair,Transaction_Count,Item_A,Item_B,Support (%)
"('RED HANGING HEART T-LIGHT HOLDER', 'WHITE HANGING HEART T-LIGHT HOLDER')",1153,RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,3.4
"('WOODEN FRAME ANTIQUE WHITE ', 'WOODEN PICTURE FRAME WHITE FINISH')",993,WOODEN FRAME ANTIQUE WHITE ,WOODEN PICTURE FRAME WHITE FINISH,2.93
"('HEART OF WICKER LARGE', 'HEART OF WICKER SMALL')",869,HEART OF WICKER LARGE,HEART OF WICKER SMALL,2.56
"('STRAWBERRY CERAMIC TRINKET BOX', 'SWEETHEART CERAMIC TRINKET BOX')",817,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,2.41
"('HOME BUILDING BLOCK WORD', 'LOVE BUILDING BLOCK WORD')",786,HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,2.32
"('LUNCH BAG  BLACK SKULL.', 'LUNCH BAG SPACEBOY DESIGN ')",774,LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN ,2.28
"('GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER ')",743,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,2.19
"('LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE')",741,LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,2.19
"('60 TEATIME FAIRY CAKE CASES', 'PACK OF 60 PINK PAISLEY CAKE CASES')",736,60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,2.17
"('JUMBO BAG RED RETROSPOT', 'JUMBO STORAGE BAG SUKI')",733,JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,2.16
"('LUNCH BAG SPACEBOY DESIGN ', 'LUNCH BAG WOODLAND')",726,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG WOODLAND,2.14
"('JUMBO BAG RED RETROSPOT', 'JUMBO BAG STRAWBERRY')",723,JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,2.13
"('ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE RED ')",702,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,2.07
"('LUNCH BAG CARS BLUE', 'LUNCH BAG SPACEBOY DESIGN ')",697,LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN ,2.06
"('LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND')",691,LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,2.04
